tangram,utterance,gameId,trialNum,repNum,value,grouping
F,person sitting down facing left,3NRHD2hCEgJ74Q4b2,52,4,0.8547826735561083,"(0.825,0.949]"
F,man seated,cCSd3v7a6AH8fHsJE,62,5,0.925741594214272,"(0.825,0.949]"
C,"flying angel, outstretched arms, going to the left",6cWDb4KB2JkQYoEn8,26,2,0.8748222176535713,"(0.825,0.949]"
I,the ice skater,vb35TJcSHPpKxAzJo,53,4,0.8861407228478073,"(0.825,0.949]"
A,"dancing birdman, facing left, big triangle for a head, square balanced over right shoulder with one leg up, NA",LfuChcnEB54q8Ztys,30,2,0.9440210774285296,"(0.825,0.949]"
F,person sitting on their bottom,d3pirdbXLaHdgxR9t,0,0,0.9427751879812474,"(0.825,0.949]"
E,bunny,f69G9D9Q2uiv2MCJn,23,1,0.9894266554309686,"(0.949,1]"
I,figure skater,2928FF7GcrkeFiDkh,65,5,0.9954678494312792,"(0.949,1]"
D,robe man with book,CNET4E5tvYW37ZevE,43,3,0.9924539340258284,"(0.949,1]"
C,"both arms up in the air, diamond head, slanted body, leaning to the left, no legs",93ZvRh5AYPNeTJxjv,7,0,0.9790170403843104,"(0.949,1]"
F,"A person who looks depressed, sitting down with their knees bent at a 45 degree angle, their head is tilted downwards, they are facing to the left",ASJgHR2N8wCgN32cu,13,1,0.9606392107460988,"(0.949,1]"
C,"person with both arms up, slightly falling to the left",HQCyESfw7Bwg5LM3Q,9,0,0.9916084495200932,"(0.949,1]"
I,ice-skater,LWXs28TdQJxaEcPzm,71,5,0.9827243682611336,"(0.949,1]"
C,"flying ghost, no legs, two arms in the air",GpF4Ge9YCd7ih3DFr,39,3,0.9966250467644628,"(0.949,1]"
E,bunny ears,22dyGMRgestp8u5Lc,54,4,0.9969089261092072,"(0.949,1]"
F,"slumped man, facing left, knees up, toes up",qvcePeQSJ7k2HTcJt,62,5,0.9720576544445688,"(0.949,1]"
